"","AU","TI","Screen1_Assessed","Screen1_MissingDetails","Screen1_GoldStar","Screen1_Reject","Screen1_RejectNOTEntreP","Screen1_VaguelyRelevent","Screen1_Women","Screen1_EntreP","Screen1_EAfrica","Screen1_Example","Screen1_Notes"
"931","Tata Js;Mcnamara Pe","Social factors that influence use of ict in agricultural extension in southern africa",TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,""
"932","Tauzie M;Hermans Tdg;Whitfield S","The new achikumbe elite: food systems transformation in the context of digital platforms use in agriculture in malawi",TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,""
"933","Tawiah S;Setlhodi Ii","Introducing information and communication technology training for rural women in south africa: innovative strategies for the advancement of livelihoods",TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,"does training in ict lead to a greater number of entrepreneurship? is there a corelation? "
"934","Tayaa Sb;Bouzaabia R","The determinants of tunisian influencer-mompreneurs' success: an exploratory study of a new form of female web entrepreneurship on instagram",TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,""
"935","Tazzie Yd;Adugna D;Woldetensae B;Fryd O;Ingvardson Jb","Exploring the factors hindering the intention to adopt sustainable transportation options in addis ababa, ethiopia: using structural equation modeling",TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,""
"936","Tchamyou Vs;Asongu Sa;Odhiambo Nm","The role of ict in modulating the effect of education and lifelong learning on income inequality and economic growth in africa",TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,""
"937","Tegegne As","Predictors associated with the variation of cd4 cell count and body mass index (bmi) for hiv positive adults under art",TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,""
"938","Teklewold H;Bezabih M;Gebrehiwot T","Gender differences on the choices of a portfolio of climate change adaptation strategies in ethiopia",TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,""
"939","Teklu A;Simane B;Bezabih M","Multiple adoption of climate-smart agriculture innovation for agricultural sustainability: empirical evidence from the upper blue nile highlands of ethiopia",TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,""
"940","Terfa Zg;Nantanda R;Lesosky M;Devereux;Graham G;Obasi A;Mortimer K;Khan J;Rylance J;Niessen Lw;Impala Consortium Impalac","Household food insecurity, maternal nutrition, environmental risks and infants' health outcomes: protocol of the impala birth cohort study in uganda",TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,""
"941","Tesfaw M;Abebe A;Bekele B;Baza D","The lived experience of women using bilateral tubal ligation service in rural southern ethiopia: a phenomenological study",TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,""
"942","Tey Ys;Brindal M","A meta-analysis of factors speeding the adoption of agricultural intensification methods in africa",TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,""
"943","Thwing J;Hochberg N;Eng Jv;Issifi;Sanouna S;Eliades Mj;Minkoulou E;Wolkon A;Gado H;Ibrahim O;Newman Rd;Lama;Marcel M","Insecticide-treated net ownership and usage in niger after a nationwide integrated campaign",TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,""
"944","Till S;Mkhize M;Farao J;Shandu L;Deborah D;Muthelo L;Coleman Tl;Mbombi;Masenyani M;Bopape M;Klingberg S;Van Heerden;Alastair A;Mothiba T;Densmore M;Dias N;Xavier Verdezoto Xv;Comach Network Cmchn","Digital health technologies for maternal and child health in africa and other low- and middle-income countries: cross-disciplinary scoping review with stakeholder consultation",TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,""
"945","Timmins L;Schneider Ja;Chen Yt;Pagkas-Bather J;Kim B;Moody Rl;Al-Ajlouni Ya;Lee F;Koli K;Durrell;Mainza M;Eavou R;Hanson H;Park Sh;Duncan Dt","Covid-19 stressors and symptoms of depression and anxiety among black cisgender sexual minority men and black transgender women during the initial peak of the covid-19 pandemic",TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,""
"946","Timsina P;Chaudhary A;Sharma A;Karki E;Suri B;Brown B","Necessity as a driver in bending agricultural gender norms in the eastern gangetic plains of south asia",TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,""
"947","Timu Ag;Gustafson Cr;Mieno T","The gendered impacts of index-insurance on food-consumption: evidence from southern ethiopia",TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,""
"948","Tinta Aa;Sylla Ay;Lankouande E","Solar pv adoption in rural burkina faso",TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,""
"949","Tipilda A;Alene A;Manyong V","Engaging with cultural practices in ways that benefit women in northern nigeria",TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,""
"950","Tiwari J;Schaub E;Sultana N","Barriers to ?Last mile? Financial inclusion: cases from northern kenya",TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,"financial products such as mobile money "
"951","Torres J;Maduko F;Gaddis I;Iacovone;Leonardo L;Beegle K","The impact of the covid-19 pandemic on women-led businesses",TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,""
"952","Toure A;Huat J;Rodenburg J","Identifying farm-type specific entry points for innovations in weed management in smallholder inland-valley rice-based systems in west africa",TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,""
"953","Tran J;Hathaway Cl;Broshkevitch Cj;Palanee-Phillips T;Barnabas Rv;Rao D;White W;Sharma M","Cost-effectiveness of single-visit cervical cancer screening in kwazulu-natal, south africa: a model-based analysis accounting for the hiv epidemic",TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,""
"954","Tricarico Jm;Kebreab E;Wattiaux Ma","<i>milk symposium review</i>: sustainability of dairy production and consumption in low-income countries with emphasis on productivity and environmental impact",TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,""
"955","Tripathi V;Arnoff E;Bellows B;Sripad;Pooja P","Use of interactive voice response technology to address barriers to fistula care in nigeria and uganda",TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,""
"956","Tshabangu T;Salawu A","Indigenous-language media research in africa: gains, losses, towards a new research agenda",TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,"systematic review"
"957","Tsige M;Synnevag G;Aune Jb","Gendered constraints for adopting climate-smart agriculture amongst smallholder ethiopian women farmers",TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,""
"958","Twine Ee;Adur-Okello Se;Mujawamariya;Gaudiose G;Ndindeng Sa","Targeting millers to improve rice marketing in uganda",TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,""
"959","Uche E;Odionye J;Ngepah N","Information and communication technologies, inclusive finance and entrepreneurship in africa: a gender-specific perspective",TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,""
"960","Uchenna E;Oluwabunmi Ao","Cooking technology and female labor market outcomes in sub-saharan africa",TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,""
"961","Udenigwe O;Yaya S","Leaving no woman or girl behind? Inclusion and participation in digital maternal health programs in sub-saharan africa",TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,""
"962","Uduji Ji;Okolo-Obasi En","Adoption of improved crop varieties by involving farmers in the e-wallet program in nigeria",TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,""
"963","Uduji Ji;Okolo-Obasi En;Asongu S","Women's participation in the offshore and inshore fisheries entrepreneurship the role of csr in nigeria's oil coastal communities",TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,""
"964","Uduji Ji;Okolo-Obasi En;Asongu S;Anutechia A","Does growth enhancement support scheme (gess) contribute to youth development in informal farm entrepreneurship? Evidence from rural communities in nigeria",TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,""
"965","Uduji Ji;Okolo-Obasi En;Asongu Sa","Growth enhancement support scheme (gess) and farmers' fertilizer use in rural nigeria",TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,""
"966","Ueki K;Sugiyama M;Ihara Y;Fujita;Mitsuhiro M","Multi-race age estimation based on the combination of multiple classifiers",TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,""
"967","Unati S;Mpumelelo N;Wonder N;Michael;Antwi Akwasi Aa;Mudau Fn","Challenges militating against sustainable economic development potential of african aromatic, beverage and medicinal herbs: a south african perspective",TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,""
"968","Underwood Sm","Minorities, women, and clinical cancer research: the charge, promise, and challenge",TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,""
"969","Untari R;Gajjala R;Sanjaya R","The making of ``<i>asli</i>'' sumba woven cloth: how globalising ``intangible heritage'' impacts women's roles",TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,""
"970","Urban B;Moetse P","Social capital in a digital age: a focus on bridging and bonding social capital of women entrepreneurs in south africa",TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,""
"971","Urban B;Moloi J","Organizational justice and employee entrepreneurial intentions in south africa",TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,""
"972","Valerio E;Hilmiati N;Thei Rs;Barraza;Alejandra Safa As;Prior J","Innovation for whom? The case of women in cattle farming in nusa tenggara barat, indonesia",TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,""
"973","Van Der Byl K;Van Belle Jp","Factors influencing south african attitudes toward digital piracy",TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,""
"974","Van Der Merwe S;De Kock I;Musango Jk","The state of the art of gendered energy innovations: a structured literature review",TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,""
"975","Van Der Westhuizen T;Goyayi Mj","The influence of technology on entrepreneurial self-efficacy development for online business start-up in developing nations",TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,""
"976","Van Dyk J;Coetzee M","Retention factors in relation to organisational commitment in medical and information technology services",TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,""
"977","Van Etten J;Beza E;Calderer L;Van V;Duijvendijk K;Fadda C;Fantahun B;Kidane;Yosef Gebrehawaryat Yg;Van De Gevel J;Gupta A;Mengistu Dk;Kiambi D;Mathur Pn;Mercado L;Mittra S;Mollel Mj;Rosas;Juan Carlos Jc;Steinke J;Suchini Jg;Zimmerer Ks","First experiences with a novel farmer citizen science approach: crowdsourcing participatory variety selection through on-farm triadic comparisons of technologies (tricot)",TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,""
"978","Van Hove L;Dubus A","M-pesa and financial inclusion in kenya: of paying comes saving?",TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,""
"979","Van Wijk M;Barnard Mm;Fernandez A;Cloete K;Mukosi M;Pitcher Rd","Trends in public sector radiological usage in the western cape province, south africa: 2009-2019",TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,""
"980","Van-Velthoven Mhmmt;Car Lt;Gentry;Sarah S;Car J","Telephone delivered interventions for preventing hiv infection in hiv-negative persons",TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,""
"981","Velghe F","Deprivation, distance and connectivity: the adaptation of mobile phone use to a life in wesbank, a post-apartheid township in south africa",TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,""
"982","Villacis Ah;Bruns S;Paul Tom;Ortega Dl;Mishra Ak","Gender dynamics and aspirational disparities in agriculture",TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,""
"983","Villamor Gb","Gender and water-energy-food nexus in the rural highlands of ethiopia: where are the trade-offs?",TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,""
"984","Visvizi A;Lytras M;Chuman M;Sarirete;Akila A;Kozlowski K","Guest editorial: gender, entrepreneurship and the digital divide: a global perspective",TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,""
"985","Viviers W;Parry A;Van Rensburg Sjj","Africa's digital future from theory to action preface",TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,""
"986","Voss Rc;Jansen T;Mane B;Shennan C","Encouraging technology adoption using icts and farm trials in senegal: lessons for gender equity and scaled impact",TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,""
"987","Wagner Gj;Wagner Z;Gizaw M;Saya U;Maccarthy S;Mukasa B;Wabukala P;Linnemayr S","Increased depression during covid-19 lockdown associated with food insecurity and antiretroviral non-adherence among people living with hiv in uganda",TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,""
"988","Wahbi A;Asqui Gar;Musshoff;Oliver O","Saving on the phone-evidence from ghanaian cocoa farmers",TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,""
"989","Wahbi A;Sarfo Y;Musshoff O","Female smallholder farmers' preferences for digital and conventional credit attributes: evidence from madagascar",TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,""
"990","Wahl Ct;Bland Wl","<i>faidherbia albida</i> on the tonga plateau of southern zambia: an agroecological analysis",TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,""
"991","Wamuti B;Sharma M;Kariithi E;Lagat;Harison H;Otieno G;Bosire R;Masyuko S;Mugambi M;Weiner Bj;Katz Da;Farquhar;Carey C;Levin C","Cost of integrating assisted partner services in hiv testing services in kisumu and homa bay counties, kenya: a microcosting study",TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,""
"992","Warinda E;Nyariki Dm;Wambua S;Muasya;Reuben M. Rm;Hanjra Ma","Sustainable development in east africa: impact evaluation of regional agricultural development projects in burundi, kenya, rwanda, tanzania, and uganda",TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,""
"993","Warsame Mh;Ireri Em","Moderation effect on mobile microfinance services in kenya: an extended utaut model",TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,"what is  m-shwari? "
"994","Washington G;Mejias M;Burge L","Attracting black high school boys to computer science through tech innovation and entrepreneurship",TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"about boys and I think focused in north america "
"995","Wayessa B","Whose development? The dilemma of rural artisan women in southwestern ethiopia",TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,""
"996","Wayessa Bs","My meals are in the pots: making pots and meals in wollega, southwest ethiopia",TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,""
"997","Wayessa Bs","Prepared in pots, served in plastics: rural ethiopian women's responses to the global economy",TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,""
"998","Weinberg Jl;El-Harakeh A;Kiplagat S;Abubakar Aa;Iyengar S;Marconi Am;Vaghaiwalla Tm;Kalbarczyk A;Harrison M","We aren't just `slack'ing off: utilizing a digital tool to connect emerging women leaders in global health",TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,""
"999","Wekwete Nn","Gender and economic empowerment in africa: evidence and policy",TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,""
"1000","Wells Bt","Digital greenwood",TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,""
"1001","Wendimu A;Tekalign W;Bojago E;Zemarku Z","Beef cattle fattening practices and marketing system in tropical highlands of ethiopia",TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,""
"1002","Were Jm;Stranges S;Creed If","Fertility is a key predictor of the double burden of malnutrition among women of child-bearing age in sub-saharan africa",TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,""
"1003","Werunga Dk;Omukunda En;Korir J;Cheruiyot C","Prevalence and intensity of intestinal helminth infections in preschool pupils in lugari subcounty, kakamega county, kenya",TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,""
"1004","Wheeler A;Wiese L","Reforming higher education in south africa by addressing gender inequalities",TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,""
"1005","Whitaker R;Hendry M;Aslam R;Booth;Andrew A;Carter B;Charles Jm;Craine N;Edwards Rt;Noyes J;Ntambwe Li;Pasterfield D;Rycroft-Malone J;Williams N","Intervention now to eliminate repeat unintended pregnancy in teenagers (interupt): a systematic review of intervention effectiveness and cost-effectiveness, and qualitative and realist synthesis of implementation factors and user engagement",TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,"systematic review "
"1006","White Sk;Kamya Ha","Transactional sex, consumer society, and neoliberalism in uganda: a political economic analysis of drivers and models of response",TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,""
"1007","Williams A;Wood Sn;Stuart Hc;Wamue-Ngare G;Thiongo M;Gichangi P;Devoto;Bianca B;Decker Mr","Gendered time use during covid-19 among adolescents and young adults in nairobi, kenya",TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,""
"1008","Williamson A;Barbarin A;Campbell B;Campbell T;Franzen S;Reischl Tm;Zimmerman M;Veinot Tc","Uptake of and engagement with an online sexual health intervention (hope eintervention) among african american young adults: mixed methods study",TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,""
"1009","Wilson Kr;Wallin Js;Reiser C","Social stratification and the digital divide",TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,""
"1010","Winkler B;Lemke S;Lewandowski I","Irepa - biomass for bioenergy potential assessment by a holistic and participatory approach",TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,""
"1011","Winslow M;Shapiro B;Sanders J","Policies, institutions and market development to accelerate technological change in the semiarid zones of sub-saharan africa",TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,""
"1012","Wirtz Al;Poteat T;Borquez A;Linton;Sabriya S;Stevenson M;Case J;Brown C;Lint;Arianna A;Miller M;Radix A;Althoff Kn;Schneider Js;Haw Js;Wawrzyniak Aj;Rodriguez A;Cooney E;Humes E;Pontes C;Seopaul S;White C;Beyrer C;Reisner;Sari L. Sl;Encore Study Grp Encoresg","Enhanced cohort methods for hiv research and epidemiology(encore):protocol for a nationwide hybrid cohort fortransgender women in the united states",TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,""
"1013","Wrigley-Asante C;Agyemang E","Trading on-and-off the road: experiences of ghanaian informal cross border traders",TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,""
"1014","Wu Jr;Kundu M;Iwanaga K;Chan F;Chen X;Rumrill P;Wehman P","Social cognitive career theory predictors of goal persistence in african american college students with disabilities",TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,""
"1015","Wyche S;Olson J","Kenyan women's rural realities, mobile internet access, and ``africa rising''",TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,""
"1016","Wyche S;Steinfield C","Why don't farmers use cell phones to access market prices? Technology affordances and barriers to market information services adoption in rural kenya",TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,""
"1017","Xie H;Wen Y;Choi Y;Zhang X","Global trends on food security research: a bibliometric analysis",TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,""
"1018","Xiong D;Khaddage-Soboh N;Umar M;Safi;Adnan A;Norena-Chavez D","Redefining entrepreneurship in the digital age: exploring the impact of technology and collaboration on ventures",TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,""
"1019","Yakubu I;Salisu Wj","Determinants of adolescent pregnancy in sub-saharan africa: a systematic review",TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,"systematic review"
"1020","Yami M;Abioye O;Sore Sz;Mugisho A;Abdoulaye T","Factors influencing gender and youth integration in agricultural research and innovation in africa",TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,""
"1021","Yarger L;Cobb Payton F;Neupane B","Algorithmic equity in the hiring of underrepresented it job candidates",TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,""
